Leap Product,Company ObjectId,Account Name,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Consolidated Census Bands,Census Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR
Both,9oZCCVgwCI,T & S Roofing,Partner 65,0011K00002b4KEH,6187,3/22/23,2/22/23,not found,,6,45,270,250,"$1,863 ",79119,Amarillo,TX,Francesca Furnells,Francesca Furnells,540,1-9 employees,5-9 employees,,6,3,270,270
JobProgress,,Lasting Impressions Home Solutions,Partner 65,0011K00002ZN7ct,4034,12/13/22,4/20/22,not found,Contractors - Siding,4,60.5,242,500,"$1,862 ",28027,Concord,NC,Corey Stroup Mishenko,Corey Stroup Mishenko,242,1-9 employees,1-4 employees,,4,0,242,0
JobProgress,,"Construct 4 U, LLC",Partner 65,0011K00002ZN7rF,4417,12/13/22,7/27/21,not found,Contractors - Building,3,60.5,181.5,500,"$1,855 ",33579,Riverview,FL,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Blue Ribbon Construction,Partner 65,0011K00002eRQyB,4633,12/13/22,12/15/21,not found,,4,55,220,500,"$1,850 ",80021,Broomfield,CO,Christopher Cielo,Christopher Cielo,220,1-9 employees,1-4 employees,,4,0,220,0
JobProgress,,Roofing Recovery,Partner 65,0011K00002ZN7j0,5477,12/13/22,11/28/17,238160,Contractors - Roofing,2,60.5,121,500,"$1,849 ",33069,Pompano Beach,FL,Francesca Furnells,Francesca Furnells,121,1-9 employees,1-4 employees,,2,0,121,0
JobProgress,,Ecoview Tampa,Partner 65,0011K00002aNqFL,5965,2/18/23,1/18/23,not found,,4,45,180,750,"$1,844 ",33563,Plant City,Florida,Francesca Furnells,Francesca Furnells,180,1-9 employees,1-4 employees,,4,0,180,0
JobProgress,,Trinity Home Improvement,Partner 65,0011K00002ZN7ra,5232,12/13/22,4/26/22,not found,,4,60.5,242,500,"$1,836 ",20706,Glenarden,MD,Colton Temanson,Colton Temanson,242,1-9 employees,1-4 employees,,4,0,242,0
JobProgress,,Vinny Flooring INC,Partner 65,0011K00002ZN7ki,4208,12/13/22,1/4/22,not found,Carpet & Flooring,3,60.5,181.5,500,"$1,836 ",28105,Matthews,NC,Corey Stroup Mishenko,Corey Stroup Mishenko,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Encore Concrete Coatings,Partner 65,0011K00002YKFXo,5867,2/10/23,4/13/20,not found,Carpet & Flooring,1,44,44,750,"$1,832 ",60118,East Dundee,IL,Sydney Phillips,Sydney Phillips,44,10-19 employees,10-19 employees,,1,0,44,0
JobProgress,,TELLA BUILDERS LLC,Partner 65,0011K00002aN0BP,6012,2/23/23,1/11/23,not found,,6,55,330,500,"$1,830 ",33179,miami,Florida,Corey Stroup Mishenko,Corey Stroup Mishenko,330,1-9 employees,5-9 employees,4,6,0,330,0
