Leap Product,Plan,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Billing State/Province,Current MRR
JobProgress,Partner 65,not found,Contractors - Building,10,65,650,CO,650
JobProgress,Partner 65,238160,Contractors - Roofing,14,45,630,TX,630
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,OH,605
JobProgress,Partner 65,not found,Contractors - Roofing,13,55,715,OH,715
Both,Partner 65,not found,Contractors - Roofing,12,60.5,726,GA,1419
Leap,Premium 2021,not found,Contractors - Roofing,7,90,630,IN,630
JobProgress,Partner 65,not found,,16,44,704,CA,704
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,IA,665.5
Leap,Premium 2021,not found,Glass Products & Services,3,99,297,Nc,297
Both,Enterprise 2021,not found,Contractors - Roofing,3,125,375,FL,738
Leap,Premium 2021,not found,Contractors - Building,3,99,297,TX,297
JobProgress,Partner 65,not found,Contractors - Roofing,16,38.5,616,FL,616
JobProgress,Partner 65,not found,Contractors - Roofing,12,66,792,CO,792
JobProgress,Leap Enterprise 2023,not found,,20,66,1320,TX,1320
Leap,Premium 2021,not found,Contractors - Building,5,50,250,DE,250
JobProgress,Partner 65,238160,Contractors - Roofing,10,60.5,605,TN,605
Leap,Premium 2019,not found,Home Improvement & Remodeling Services,1,137.5,137.5,ON,137.5
JobProgress,Partner 65,not found,,12,49.5,619,CA,619
Leap,Premium 2021,not found,Contractors - Roofing,2,99,198,Illinois,198
JobProgress,Partner 65,not found,Contractors - Roofing,12,60.5,726,MN,726
JobProgress,Leap Team 2023,not found,,14,79,1106,TX,1106
Leap,Enterprise 2021,not found,Contractors - Building,1,125,125,MI,125
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,OH,665.5
JobProgress,Partner 65,not found,Contractors - Roofing,15,55,825,CO,825
Leap,Premium 2021,not found,Contractors - Roofing,3,89,267,Maryland,267
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,TX,605
Both,Partner 65,not found,Contractors - Roofing,15,55,825,IL,1320
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,OH,665.5
Leap,Premium 2021,not found,Contractors - Building,4,89,356,NH,356
JobProgress,Partner 65,238160,,13,49.5,743.5,NE,743.5
JobProgress,Partner 65,not found,Contractors - Roofing,12,60.5,826,CA,826
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,690.5,MN,690.5
JobProgress,Partner 65,not found,Contractors - Roofing,11,55,605,NJ,605
JobProgress,Partner 65,238160,,9,50,450,FL,450
Both,SalesPro Enterprise 2023,423310,Glass Products & Services,20,100,2000,MI,4600
JobProgress,Partner 65,not found,Contractors - Roofing,11,55,605,OH,605
JobProgress,Partner 65,not found,,24,49.5,1188,PA,1188
Leap,Premium 2021,not found,,7,99,693,VA,693
JobProgress,Partner 65,not found,Electronics - Dealers,8,60.5,484,TX,484
JobProgress,Partner 65,not found,Contractors - Roofing,12,60.5,726,AR,726
JobProgress,Partner 65,not found,Contractors - Roofing,11,55,605,FL,605
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,MO,605
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,MD,605
Both,Enterprise 2021,238160,Contractors - Roofing,5,100,500,CA,1286.5
Leap,Premium 2021,not found,,7,94,658,Wisconsin,658
JobProgress,Partner 65,not found,,12,49.5,594,NY,594
JobProgress,Partner 65,not found,Contractors - Building,10,60.5,605,FL,605
JobProgress,Partner 65,not found,Contractors - Building,10,60.5,605,NY,605
JobProgress,Partner 65,not found,Contractors - Building,14,60.5,847,CO,847
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,NJ,605
JobProgress,Partner 65,not found,Contractors - Building,9,60.5,544.5,NY,544.5
JobProgress,Partner 65,238160,Contractors - Siding,10,60,600,MN,600
JobProgress,Partner 65,not found,Contractors - Building,10,60.5,605,IL,605
JobProgress,Partner 65,not found,Contractors - Building,13,60.5,811.5,MD,811.5
JobProgress,Partner 65,not found,Contractors - Roofing,14,55,770,MI,770
JobProgress,Partner 65,not found,,9,60.5,544.5,,544.5
JobProgress,Partner 65,not found,Contractors - Building,11,60.5,665.5,FL,665.5
JobProgress,Partner 65,not found,Contractors - Building,10,60.5,605,AL,605
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,NJ,544.5
Leap,SalesPro Team 2023,not found,Glass Products & Services,11,84,924,FL,924
JobProgress,Partner 65,not found,Contractors - Roofing,17,38.5,654.5,KY,654.5
JobProgress,Partner 65,not found,Contractors - Concrete,3,55,190,NC,190
JobProgress,Partner 65,not found,Contractors - Building,9,60.5,544.5,MN,544.5
JobProgress,Partner 65,not found,,12,49.5,594,OR,594
Both,Partner 65,not found,Contractors - Deck & Patio,11,60.5,665.5,VA,1160.5
Leap,Premium 2021,444110,Glass Products & Services,9,99,891,PA,891
Leap,Enterprise 2021,not found,Cabinets & Countertops,2,125,250,Tennessee,250
JobProgress,Partner 65,not found,Contractors - Roofing,12,55,735,GA,735
JobProgress,Partner 65,not found,Contractors - Roofing,13,60.5,786.5,FL,786.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,GA,544.5
Leap,Premium 2021,not found,Contractors - Building,3,99,297,FL,297
JobProgress,Partner 65,not found,,5,55,275,MO,275
JobProgress,Partner 65,not found,,17,49.5,841.5,TX,841.5
JobProgress,Partner 65,not found,Contractors - Roofing,11,55,605,NJ,605
JobProgress,Partner 65,not found,,15,55,825,AR,825
JobProgress,Partner 65,238160,Contractors - Roofing,3,79,237,GA,237
Both,Partner 65,not found,Contractors - Building,12,49.5,594,NY,990
Leap,Premium 2021,not found,Glass Products & Services,5,99,495,CA,495
Leap,Premium 2020,not found,Contractors - Building,1,60.5,60.5,CT,60.5
Leap,Premium 2021,not found,Glass Products & Services,8,89,712,PA,712
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,GA,121
JobProgress,Partner 65,not found,Contractors - Roofing,17,44,748,PA,748
JobProgress,Partner 65,not found,"Awnings, Canopies & Tarps",8,66,528,VA,528
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,TN,665.5
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,690.5,SC,690.5
JobProgress,Partner 65,not found,,13,55,715,New York,715
JobProgress,Partner 65,not found,,8,65,520,AR,520
Leap,Premium 2021,not found,Contractors - Concrete,3,99,297,TX,297
Leap,Premium 2021,not found,Contractors - Building,3,99,297,PA,297
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,PA,605
JobProgress,Partner 65,not found,Contractors - Roofing,15,55,825,CO,825
JobProgress,Partner 65,238160,Contractors - Roofing,10,65,650,TX,650
JobProgress,Partner 65,not found,Contractors - Roofing,10,55,550,MD,550
JobProgress,Partner 65,not found,Glass Products & Services,9,55,620,AL,620
Leap,Premium 2020,not found,Contractors - Painting,1,125,125,KY,125
Leap,Enterprise 2021,not found,,5,112.5,562.5,PA,562.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,TX,544.5
Leap,SalesPro Team 2023,not found,Glass Products & Services,8,99,792,CA,792
Leap,Premium 2021,not found,Contractors - Building,6,79.2,475.2,CA,475.2
Leap,Premium 2021,not found,Contractors - Building,4,99,396,AZ,396
Leap,Premium 2021,not found,Construction Supplies & Services,3,99,297,TX,297
JobProgress,Partner 65,not found,Contractors - Roofing,8,65,520,OH,520
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,OR,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,10,55,550,TX,550
JobProgress,Partner 65,not found,Contractors - Building,1,55,55,MD,55
JobProgress,Partner 65,not found,Contractors - Building,13,44,572,MI,572
JobProgress,Partner 65,not found,,9,60.5,544.5,FL,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,DE,665.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,55,545,ID,545
JobProgress,Partner 65,not found,Contractors - Roofing,17,65,1105,CA,1105
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,DE,665.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,OH,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,FL,544.5
JobProgress,Partner 65,not found,Contractors - Painting,9,60.5,544.5,CO,544.5
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,9,60.5,544.5,PA,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,509,TN,509
JobProgress,Partner 65,not found,Contractors - Building,9,60.5,544.5,MO,544.5
JobProgress,Partner 65,238160,,12,55,660,WA,660
JobProgress,Leap Team 2023,not found,Contractors - Roofing,30,59,1770,WA,1770
JobProgress,Partner 65,not found,"Awnings, Canopies & Tarps",9,60.5,544.5,CA,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,IL,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,77,539,FL,539
JobProgress,Partner 65,not found,Contractors - Concrete,12,55,660,TN,660
JobProgress,Partner 65,not found,,12,65,780,North Carolina,780
JobProgress,Partner 65,not found,,12,44,528,MI,528
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,NE,665.5
Leap,Premium 2020,not found,Contractors - Roofing,1,125,125,MD,125
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,9,60.5,544.5,North Carolina,544.5
JobProgress,Partner 65,not found,,15,44,660,OH,660
JobProgress,Partner 65,not found,Contractors - Building,8,60.5,534,MI,534
JobProgress,Partner 65,not found,Contractors - Roofing,15,44,660,GA,660
Both,Leap Team 2023,not found,,12,79,948,Minnesota,1245
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,WA,665.5
JobProgress,Partner 65,not found,Contractors - Building,10,60.5,605,CT,605
Both,Enterprise 2021,not found,Contractors - Roofing,3,112.5,337.5,PA,865
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,NC,484
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,MN,544.5
JobProgress,Partner 65,not found,,14,49.5,693,TN,693
JobProgress,Partner 65,not found,Contractors - Building,8,65,520,IN,520
JobProgress,Partner 65,not found,"Water Well, Pipe Line & Drilling Services",12,60.5,726,FL,726
JobProgress,Partner 65,not found,Contractors - Roofing,11,50,550,TX,550
JobProgress,Partner 65,not found,Contractors - Insulation,6,65,515,DE,515
JobProgress,Partner 65,not found,Contractors - Roofing,9,65,610,FL,610
JobProgress,Partner 65,not found,Contractors - Building,11,55,605,AL,605
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,GA,605
Leap,Enterprise 2021,not found,,3,125,375,MD,375
Leap,Premium 2020,not found,Home Improvement & Remodeling Services,1,125,125,NJ,125
JobProgress,Partner 65,not found,Contractors - Roofing,16,55,880,CO,880
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,605,TX,605
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,1,79,79,CO,79
JobProgress,Partner 65,238160,Contractors - Roofing,10,60.5,605,GA,605
JobProgress,Partner 65,not found,,8,60.5,484,PA,484
Leap,SalesPro Team 2023,not found,,8,94,752,CA,752
Leap,Premium 2019,not found,Contractors - Building,1,55,55,CA,55
JobProgress,Partner 65,not found,Contractors - Roofing,15,60.5,907.5,OH,907.5
JobProgress,Partner 65,not found,,14,49.5,693,NJ,693
JobProgress,Partner 65,not found,,17,44,748,CO,748
Both,SalesPro Enterprise 2023,not found,Contractors - Roofing,5,116,580,PA,1185
JobProgress,Partner 65,not found,,11,65,715,NY,715
JobProgress,Partner 65,not found,Contractors - Roofing,13,44,572,IA,572
JobProgress,Partner 65,not found,Glass Products & Services,3,55,165,MD,165
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,509,PA,509
JobProgress,Partner 65,not found,,9,65,585,GA,585
Leap,Premium 2020,not found,Glass Products & Services,1,125,125,FL,125
Leap,Premium 2021,not found,Contractors - Siding,3,89.1,267.3,WI,267.3
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,MI,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,OH,544.5
Leap,Premium 2021,423310,Glass Products & Services,2,99,198,FL,198
JobProgress,Partner 65,not found,Contractors - Roofing,9,55,495,FL,495
JobProgress,Partner 65,not found,,10,45,450,DE,450
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,NC,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,55,495,MD,495
Both,Partner 65,not found,Contractors - Roofing,12,55,660,OK,1254
Leap,Premium 2020,not found,Glass Products & Services,1,123.75,123.75,KS,123.75
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,PA,665.5
JobProgress,Partner 65,not found,,10,49.5,495,SC,495
Both,SalesPro Enterprise 2023,not found,,10,110,1100,NY,1810
JobProgress,Leap Team 2023,not found,,10,79,790,TX,790
JobProgress,Partner 65,not found,,10,49.5,495,TN,495
Leap,Premium 2021,not found,Contractors - Roofing,2,99,198,IN,198
JobProgress,Partner 65,238160,,10,49.5,495,TX,495
JobProgress,Partner 65,not found,Contractors - Roofing,8,44,352,WA,352
JobProgress,Partner 65,not found,,10,49.5,495,AL,495
Leap,Premium 2021,238160,,5,99,495,TX,495
JobProgress,Partner 65,not found,Contractors - Roofing,12,55,660,CT,660
Leap,Premium 2021,not found,Home Improvement & Remodeling Services,7,99,693,WI,693
JobProgress,Partner 65,not found,,8,65,520,TX,520
JobProgress,Partner 65,238170,Contractors - Roofing,8,60.5,484,MD,484
JobProgress,Partner 65,not found,,10,65,650,LA,650
JobProgress,Partner 65,not found,Contractors - Roofing,8,65,595,CO,595
JobProgress,Partner 65,not found,Contractors - Roofing,12,60.5,726,AZ,726
JobProgress,Partner 65,238160,Contractors - Roofing,14,49.5,693,NY,693
JobProgress,Partner 65,not found,,10,61,610,NY,610
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,OH,544.5
JobProgress,Partner 65,not found,Contractors - Concrete,11,55,630,TX,630
JobProgress,Partner 65,not found,,10,60.5,605,FL,605
Both,SalesPro Team 2023,not found,,13,99,1287,TX,2247
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,NY,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,ON,484
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,GA,484
JobProgress,Partner 65,not found,Glass Products & Services,7,60.5,423.5,NJ,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,TN,484
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,8,60.5,484,NJ,484
Leap,Premium 2021,423310,Glass Products & Services,3,99,297,CO,297
JobProgress,Partner 65,not found,Contractors - Building,9,55,495,IN,495
JobProgress,Partner 65,not found,,10,60.5,605,QLD,605
Leap,Premium 2021,not found,Contractors - Building,7,50,350,CO,350
Leap,SalesPro Team 2023,not found,,8,99,792,NC,792
JobProgress,Partner 65,not found,Contractors - Roofing,11,55,630,MO,630
JobProgress,Partner 65,not found,,12,44,528,IL,528
JobProgress,Partner 65,not found,Contractors - Building,15,66,990,CO,990
Leap,SalesPro Enterprise 2023,not found,,10,105,1050,OH,1050
JobProgress,Leap Team 2023b,not found,Contractors - Building,30,74,2247,RI,2247
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,CA,665.5
JobProgress,Partner 65,not found,Contractors - Building,11,60.5,690.5,MN,690.5
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,NC,484
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,TN,60.5
JobProgress,Partner 65,not found,Cleaning Services & Supplies,7,60.5,448.5,FL,448.5
JobProgress,Partner 65,not found,Contractors - Roofing,10,49.5,495,PA,495
JobProgress,Partner 65,not found,Contractors - Building,5,60.5,302.5,TX,302.5
JobProgress,Partner 65,not found,Glass Products & Services,10,49.5,495,CO,495
JobProgress,Partner 65,238160,Contractors - Roofing,8,60.5,484,GA,484
JobProgress,Partner 65,not found,Contractors - Roofing,13,44,572,GA,572
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,FL,484
JobProgress,Partner 65,not found,,3,55,165,AL,165
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,MD,484
Leap,Premium 2020,not found,Glass Products & Services,1,112.5,112.5,Ont.,112.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,TN,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,VA,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,10,49.5,495,NC,495
JobProgress,Partner 65,not found,Contractors - Building,4,60.5,242,NJ,242
JobProgress,Partner 65,not found,Contractors - Excavation & Wrecking,8,65,545,Georgia,545
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,LA,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,AL,423.5
JobProgress,Partner 65,not found,Construction Supplies & Services,7,65,455,CA,455
JobProgress,Partner 65,not found,Contractors - Building,7,60.5,423.5,VA,423.5
JobProgress,Partner 65,not found,Contractors - Building,7,60.5,423.5,GA,423.5
JobProgress,Partner 65,238160,Contractors - Building,8,60.5,484,MO,484
JobProgress,Partner 65,238160,Contractors - Roofing,8,60.5,484,TX,484
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,OH,544.5
JobProgress,Partner 65,238160,Contractors - Roofing,9,60.5,544.5,CO,544.5
JobProgress,Leap Team 2023,238160,,25,59,1475,WA,1475
Leap,Pro 2021,not found,Contractors - Concrete,4,49,196,CA,196
JobProgress,Partner 65,not found,Contractors - Building,16,50,825,CO,825
Leap,Premium 2021,not found,Contractors - Roofing,3,99,297,MI,297
Leap,Premium 2021,not found,Glass Products & Services,5,99,495,FL,495
JobProgress,Partner 65,not found,Contractors - Building,8,65,520,PA,520
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,DE,544.5
JobProgress,Partner 65,not found,Contractors - Roofing,14,50,700,GA,700
JobProgress,Partner 65,not found,,8,65,520,Texas,520
JobProgress,Partner 65,not found,,7,65,455,TN,455
JobProgress,Partner 65,423310,Glass Products & Services,8,60.5,484,FL,484
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,CT,423.5
JobProgress,Partner 65,not found,,7,65,455,VA,455
JobProgress,Partner 65,not found,,10,61,610,NY,610
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,448.5,NJ,448.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,65,455,TX,455
Leap,Premium 2021,not found,Contractors - Building,2,99,198,TX,198
JobProgress,Partner 65,not found,Contractors - Siding,5,57.47,287.35,MN,287.35
Leap,Enterprise 2021,238170,Glass Products & Services,5,125,625,MA,625
JobProgress,Partner 65,not found,Contractors - Roofing,10,55,550,OH,550
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,VA,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,55,55,CT,55
Leap,Premium 2021,not found,Contractors - Siding,3,99,297,IN,297
JobProgress,Partner 65,not found,Contractors - Roofing,10,55,550,GA,550
JobProgress,Partner 65,238160,Contractors - Roofing,9,55,495,MA,495
JobProgress,Partner 65,not found,Glass Products & Services,7,65,455,FL,455
Leap,Enterprise 2021,not found,Contractors - Roofing,3,100,300,WA,300
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,Indiana,484
JobProgress,Partner 65,not found,Contractors - Siding,8,60.5,484,IL,484
JobProgress,Partner 65,not found,Contractors - Roofing,10,60.5,655,PA,655
JobProgress,Partner 65,not found,,8,65,520,OH,520
JobProgress,Partner 65,not found,,8,55,440,IN,440
JobProgress,Partner 65,238160,Contractors - Roofing,6,60.5,438,IN,438
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,477.5,CA,477.5
JobProgress,Partner 65,not found,Contractors - Building,6,65,390,OR,390
JobProgress,Partner 65,238160,Contractors - Roofing,6,65,390,OH,390
Leap,SalesPro Enterprise 2023,not found,Glass Products & Services,6,116,696,NH,696
JobProgress,Partner 65,238160,Contractors - Roofing,8,55,440,OR,440
JobProgress,Partner 65,not found,Contractors - Concrete,8,60.5,484,NJ,484
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,AZ,423.5
JobProgress,Partner 65,not found,Contractors - Building,6,66,396,CA,396
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,CT,484
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,AL,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,509,NC,509
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,18,27.5,495,TN,495
Leap,Premium 2021,238160,Contractors - Roofing,6,90,540,OH,540
JobProgress,Partner 65,238160,Contractors - Roofing,10,60.5,630,KS,630
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,363,AB,363
JobProgress,Partner 65,not found,,7,65,455,FL,455
Leap,Premium 2021,not found,Contractors - Paving,1,99,99,CA,99
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,FL,544.5
JobProgress,Partner 65,not found,,9,60.5,544.5,MO,544.5
Leap,Premium 2021,not found,Contractors - Building,1,99,99,ID,99
Leap,Premium 2021,not found,Contractors - Roofing,2,99,198,TN,198
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,TX,423.5
JobProgress,Partner 65,not found,Cabinets & Countertops,7,60.5,423.5,VA,423.5
JobProgress,Partner 65,not found,,7,65,455,MI,455
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,TX,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,WA,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,MI,423.5
JobProgress,Partner 65,not found,Contractors - Deck & Patio,8,60.5,484,UT,484
Leap,Enterprise 2021,not found,Glass Products & Services,1,125,125,NY,125
JobProgress,Partner 65,not found,Contractors - Roofing,6,65,390,NC,390
JobProgress,Partner 65,not found,Contractors - Roofing,9,55,495,KY,495
JobProgress,Partner 65,238160,Contractors - Roofing,7,60.5,423.5,VA,423.5
JobProgress,Partner 65,not found,,7,65,455,Alberta,455
Leap,Premium 2021,not found,Contractors - Building,5,55,275,FL,275
JobProgress,Partner 65,not found,Contractors - Roofing,16,60.5,968,PA,968
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,484,CT,484
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,9,55,495,NC,495
Leap,Premium 2021,not found,Contractors - Roofing,1,99,99,FL,99
JobProgress,Partner 65,not found,Contractors - Roofing,16,27.5,440,Georgia,440
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,523.5,Kentucky,523.5
JobProgress,Partner 65,not found,Contractors - Roofing,12,60.5,726,Georgia,726
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,VA,665.5
JobProgress,Partner 65,not found,,7,65,455,CO,455
Leap,Premium 2021,not found,Contractors - Building,1,99,99,WI,99
JobProgress,Partner 65,not found,Contractors - Roofing,11,60.5,665.5,SC,665.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,MN,423.5
JobProgress,Leap Team 2023,not found,,10,65,650,CT,650
JobProgress,Partner 65,not found,,12,44,528,TX,528
JobProgress,Partner 65,not found,Contractors - Insulation,8,60.5,484,TX,484
Leap,Premium 2021,not found,Contractors - Building,1,99,99,WA,99
JobProgress,Leap Team 2023,not found,,6,79,924,MA,924
Leap,Premium 2021,not found,Glass Products & Services,2,99,198,IL,198
Leap,Premium 2021,not found,,5,99,495,TX,495
Leap,Premium 2021,not found,Glass Products & Services,4,99,396,FL,396
Both,Premium 2021,not found,,5,99,495,FL,1095
Leap,Premium 2021,236118,Contractors - Building,5,99,495,NC,495
JobProgress,Partner 65,not found,Contractors - Building,7,60.5,423.5,WA,423.5
JobProgress,Partner 65,238160,Contractors - Roofing,6,60.5,363,GA,363
JobProgress,Partner 65,not found,,21,45,945,GA,945
Leap,Premium 2021,not found,Contractors - Building,1,89,89,VA,89
JobProgress,Partner 65,236118,Glass Products & Services,7,60.5,423.5,MN,423.5
JobProgress,Partner 65,not found,,6,60.5,363,CA,363
JobProgress,Partner 65,not found,Contractors - Roofing,6,65,390,NY,390
JobProgress,Partner 65,not found,Swimming Pool Construction,6,65,390,OH,390
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,363,TN,363
JobProgress,Partner 65,not found,Contractors - Excavation & Wrecking,6,60.5,363,FL,363
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,388,ON,388
JobProgress,Partner 65,not found,Contractors - Roofing,6,66,396,TX,396
JobProgress,Partner 65,not found,Contractors - Building,7,55,385,NC,385
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,463,AZ,463
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,WA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,55,385,TX,385
Both,Partner 65,236118,Contractors - Building,7,55,385,CA,2510
JobProgress,Partner 65,not found,Contractors - Roofing,8,55,440,NH,440
JobProgress,Partner 65,not found,Contractors - Roofing,8,55,440,CA,440
Both,SalesPro Enterprise 2023,not found,,3,129,387,RI,753
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,OK,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,NJ,423.5
JobProgress,Partner 65,not found,Contractors - Building,5,60.5,402.5,MO,402.5
Leap,SalesPro Enterprise 2023,not found,Furniture,4,125,500,TX,500
JobProgress,Partner 65,not found,Contractors - Roofing,6,65,440,RI,440
JobProgress,Partner 65,not found,,7,60.5,423.5,MO,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,8,55,440,NY,440
Both,Partner 65,not found,Contractors - Roofing,8,55,465,CA,663
JobProgress,Partner 65,not found,Contractors - Roofing,7,55,385,TX,385
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,TN,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,55,385,MI,385
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,388,PA,388
Both,Leap Team 2023,not found,,6,79,524,WV,767
Leap,Enterprise 2021,not found,Contractors - Roofing,5,75,375,CO,375
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,GA,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,363,MN,363
JobProgress,Partner 65,not found,Contractors - Roofing,8,60.5,509,TX,509
JobProgress,Partner 65,not found,,8,49.5,396,WI,396
JobProgress,Partner 65,238160,Contractors - Roofing,6,60.5,363,TN,363
JobProgress,Partner 65,not found,Contractors - Building,7,55,435,NY,435
Leap,Premium 2021,not found,Contractors - Building,3,99,297,SC,297
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,AR,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,55,410,IN,410
JobProgress,Partner 65,not found,Contractors - Building,6,60.5,363,AL,363
JobProgress,Partner 65,238160,Contractors - Roofing,5,60.5,377.5,PA,377.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,OR,423.5
JobProgress,Leap Team 2023,not found,,4,94,328,ID,328
JobProgress,Partner 65,not found,Cleaning Services & Supplies,5,60.5,377.5,IN,377.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,49.5,445.5,CA,445.5
JobProgress,Partner 65,not found,Contractors - Roofing,9,60.5,544.5,MN,544.5
Leap,Enterprise 2021,not found,,4,125,500,MD,500
JobProgress,Partner 65,not found,Contractors - Roofing,10,55,550,GA,550
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,TN,423.5
