Leap Product,Company ObjectId,Account Name,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Consolidated Census Bands,Census Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR
Leap,1O2CGZFDag,Schroeder Exteriors,SalesPro Enterprise 2023,0011K00002d7nRf,7043,10/19/23,9/19/23,not found,,2,129,258,750,"$1,008 ",22031,Fairfax,VA,Christopher Cielo,Christopher Cielo,258,1-9 employees,1-4 employees,,0,2,0,258
Leap,mrbMLTCTxw,Duke Exteriors,SalesPro Team 2023,0011K00002d7e2A,6629,10/16/23,5/16/23,not found,,1,99,99,500,$995 ,,,NJ,Daniil Lyalko,Kevin Powell,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,xU1SkedH7s,Build Pros,SalesPro Team 2023,0011K00002VMn5T,6596,10/9/23,5/9/23,not found,Contractors - Roofing,2,99,198,0,$990 ,12205,Albany,NY,Colton Temanson,Colton Temanson,198,10-19 employees,10-19 employees,,0,2,0,198
Leap,x0Bvy8HcDo,Harris Roofing Specialists,Premium 2021,0011K00002U3icf,5813,10/9/23,1/9/23,not found,Contractors - Roofing,1,90,90,0,$909 ,12545,Millbrook,NY,Corey Stroup Mishenko,Corey Stroup Mishenko,90,1-9 employees,1-4 employees,3,0,1,0,90
Leap,qEc9R8ofYA,"Russell Specialty Services, LLC.",Premium 2021,0011K000026K6yp,5754,10/29/23,12/29/22,not found,Contractors - Roofing,1,90,90,0,$900 ,83501,Lewiston,ID,Sydney Phillips,Sydney Phillips,90,10-19 employees,10-19 employees,0,0,1,0,90
Leap,HlmQklGOBE,Blue Diamond Roofing Inc.,Premium 2021,0011K00002VOPEg,5730,10/21/23,12/21/22,not found,Contractors - Roofing,1,90,90,0,$900 ,91910,Chula Vista,CA,Corey Stroup Mishenko,Corey Stroup Mishenko,90,10-19 employees,10-19 employees,3,0,1,0,90
Leap,eBMjor0BTD,Bay Bridge Construction Group LLC,SalesPro Team 2023,0011K00002fALgd,7104,11/6/23,10/6/23,not found,,4,99,396,500,$896 ,21403,Annapolis,MD,Christopher Cielo,Christopher Cielo,396,1-9 employees,1-4 employees,,0,4,0,396
Leap,eQr8CprXVx,Eagle Exteriors,SalesPro Team 2023,0011K00002d9drC,6758,10/20/23,6/20/23,not found,,1,99,99,500,$896 ,2896,North Smithfield,RI,Colton Temanson,Colton Temanson,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,KgY3HbmALJ,Avrax Impact Windows & Doors Corp,SalesPro Team 2023,0011K00002d9v9a,6771,10/23/23,6/23/23,not found,,1,99,99,500,$896 ,33166,Doral,FL,Christopher Cielo,Christopher Cielo,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,SXtooZZwkf,Sugar land Roofing LLC,SalesPro Team 2023,0011K00002eOZua,6817,11/5/23,7/5/23,not found,,1,99,99,500,$896 ,77437,El Campo,TX,Daniil Lyalko,Kevin Powell,99,1-9 employees,1-4 employees,,0,1,0,99
